cycle,range_bin,doppler_bin,output_hex
1129505000,23,12,ff600080
1129515000,23,13,01bbffe4
1129525000,23,14,fe890069
1129535000,23,15,0059fffb
1131415000,23,16,ff81fff3
1131425000,23,17,002c002c
1131435000,23,18,0090ffa9
1131445000,23,19,fe19fff6
1131455000,23,20,045c0003
1131465000,23,21,fc4dff81
1131475000,23,22,01ef0194
1131485000,23,23,fe610195
1131495000,23,24,ff6dfd0d
1131505000,23,25,02fe0096
1131515000,23,26,fcc402bf
1131525000,23,27,0323fe66
1131535000,23,28,fe820021
1131545000,23,29,feb9fee1
1131555000,23,30,017900b0
1131565000,23,31,008bffeb
1133445000,24,0,ffd7ffbb
1133455000,24,1,ff52ff39
1133465000,24,2,00b902b5
1133475000,24,3,fefafcd9
1133485000,24,4,01f801fd
1133495000,24,5,fe0dfd73
1133505000,24,6,018302af
1133515000,24,7,fe6800d4
1133525000,24,8,fe4ffc23
1133535000,24,9,04dc030f
1133545000,24,10,fe4bffcd
1133555000,24,11,fcdc002b
1133565000,24,12,0416fecd
1133575000,24,13,febd00dd
1133585000,24,14,ff75ff0f
1133595000,24,15,009a00a8
1135475000,24,16,ffd30051
1135485000,24,17,00e1ffdd
1135495000,24,18,fe0eff87
1135505000,24,19,015eff22
1135515000,24,20,01240404
1135525000,24,21,00c8f9d2
1135535000,24,22,feaa04f8
1135545000,24,23,00880074
1135555000,24,24,fcddfcf5
1135565000,24,25,06ad028f
1135575000,24,26,fba4ffa5
1135585000,24,27,00f00168
1135595000,24,28,0068fd7a
1135605000,24,29,ffe2ffda
1135615000,24,30,00880138
1135625000,24,31,fff2ff6a
1137505000,25,0,ffb3ffc6
1137515000,25,1,ffcb00a1
1137525000,25,2,0010ff9b
1137535000,25,3,ffa7001e
1137545000,25,4,0018004d
1137555000,25,5,0159fcc8
1137565000,25,6,fc9d0788
1137575000,25,7,018afadc
1137585000,25,8,017d0082
1137595000,25,9,00e50069
1137605000,25,10,fe7c01eb
1137615000,25,11,ff15fc62
1137625000,25,12,025c022b
1137635000,25,13,febffe56
1137645000,25,14,ffa3014a
1137655000,25,15,0082ff64
1139535000,25,16,0028ffe6
1139545000,25,17,00d1ffee
1139555000,25,18,ff6b0037
1139565000,25,19,fedf0045
1139575000,25,20,022cff4d
1139585000,25,21,01790156
1139595000,25,22,fbc1fd76
1139605000,25,23,03c00169
1139615000,25,24,fc5a01c2
1139625000,25,25,039dfdec
1139635000,25,26,fdc30159
1139645000,25,27,01990003
1139655000,25,28,fe8efeaf
1139665000,25,29,ffa1ff00
1139675000,25,30,02a50136
1139685000,25,31,feb0001f
1141565000,26,0,ffef0070
1141575000,26,1,ff7afed7
1141585000,26,2,015e0218
1141595000,26,3,fed2fd54
1141605000,26,4,ff8a020d
1141615000,26,5,020ffecc
1141625000,26,6,fce10241
1141635000,26,7,0179fd24
1141645000,26,8,01d90054
1141655000,26,9,fdac01f7
1141665000,26,10,00200070
1141675000,26,11,00c4fc94
1141685000,26,12,ff7a02a3
1141695000,26,13,00c3ffb2
1141705000,26,14,fff50033
1141715000,26,15,ffd9ff38
1143595000,26,16,ffd1001e
